utterance_id	speaker_id	target_id	utterance_text
1	P00001	P00002	Srs. Deputados, temos quórum, pelo que declaro aberta a sessão. Eram 15 horas e 20 minutos. Estavam presentes os seguintes Srs. Deputados: Partido Socialista (PS): Agostinho Moreira Gonçalves Aires Manuel Jacinto de Carvalho Alberto Bernardes Costa Américo Jaime Afonso Pereira Ana Catarina Veiga Santos Mendonça Mendes Ana Maria Benavente da Silva Nuno António Alves Marques Júnior António Alves Martinho António Bento da Silva Galamba António de Almeida Santos António Fernandes da Silva Braga António Fernando Marques Ribeiro Reis António Fernando Menezes Rodrigues António José Gavino Paixão António Manuel Dias Baptista António Manuel do Carmo Saleiro Artur Miguel Claro da Fonseca Mora Coelho Artur Rodrigues Pereira dos Penedos Bruno Renato Sutil Moreira de Almeida Carlos Alberto Carlos Manuel Luís Casimiro Francisco Ramos Cláudio Ramos Monteiro Eduardo Ribeiro Pereira Fernando Manuel de Jesus Fernando Manuel dos Santos Gomes Fernando Pereira Serrasqueiro Filipe Mesquita Vital Francisco José Pereira de Assis Miranda Francisco Xavier Pablo da Silva Torres Gil Tristão Cardoso de Freitas França Gonçalo Matos Correia de Almeida Velho Helena Maria Mesquita Ribeiro Isabel Maria Batalha Vigia Polaco D'Almeida Isabel Maria dos Santos Barata Isabel Maria Pinto Nunes Jorge Tinoco de Faria Jamila Bárbara Madeira e Madeira João Alberto Martins Sobral João Cardona Gomes Cravinho João Francisco Gomes Benavente João Pedro da Silva Correia João Pedro de Aleluia Gomes Sequeira Joaquim Augusto Nunes Pina Moura Joaquim Sebastião Sarmento da Fonseca Almeida Jorge Lacão Costa Jorge Manuel Gouveia Strecht Ribeiro Jorge Paulo Sacadura Almeida Coelho José Alberto Rebelo dos Reis Lamego José Aurélio da Silva Barros Moura José Carlos Correia Mota de Andrade José Carlos da Cruz Lavrador José Carlos Lourenço Tavares Pereira José Carlos Pinto Basto Mota Torres José da Conceição Saraiva José Eduardo Vera Cruz Jardim José Ernesto Figueira dos Reis José Manuel de Medeiros Ferreira José Manuel Rosa do Egipto José Miguel Abreu de Figueiredo Medeiros José Miguel Marques Boquinhas Jovita de Fátima Romano Ladeira Júlio Francisco Miranda Calha Laurentino José Monteiro Castro Dias Luís Afonso Cerqueira Natividade Candal Luís Manuel dos Santos Silva Patrão Luís Miguel Gomes Miranda Teixeira Luísa Pinheiro Portugal Luiz Manuel Fagundes Duarte Mafalda Cristina Mata de Oliveira Troncho Manuel Alberto Barbosa de Oliveira Manuel Francisco dos Santos Valente Manuel Joaquim Barbosa Ribeiro Manuel Maria Diogo Manuel Maria Ferreira Carrilho Margarida Maria Santos Soares da Rocha Gariso Maria Amélia do Carmo Mota Santos Maria Celeste Lopes da Silva Correia Maria Custódia Barbosa Fernandes Costa Maria de Belém Roseira Martins Coelho Henriques de Pina Maria do Carmo de Jesus Amaro Sequeira Maria do Céu da Cruz Vidal Lourenço Maria do Rosário Lopes Amaro da Costa da Luz Carneiro Maria Fernanda dos Santos Martins Catarino Costa Maria Helena do Rêgo da Costa Salema Roseta Maria Isabel da Silva Pires de Lima Maria Luísa Silva Vasconcelos Maria Teresa de Oliveira Ferreira Coimbra Miguel Bernardo Ginestal Machado Monteiro Albuquerque Natalina Nunes Esteves Pires Tavares de Moura Osvaldo Alberto Rosário Sarmento e Castro Paula Cristina Ferreira Guimarães Duarte Paulo Alexandre de Carvalho Pisco Pedro Ricardo Cavaco Castanheira Jorge Renato Luís de Araújo Forte Sampaio Rosa Maria da Silva Bastos da Horta Albernaz Rosalina Maria Barbosa Martins Rui do Nascimento Rabaça Vieira Rui Manuel Leal Marqueiro Sónia Ermelinda Matos da Silva Fertuzinhos Victor Brito de Moura Victor Manuel Bento Baptista Vítor Manuel Alves Peixoto Vítor Manuel Caio Roque Vítor Manuel Sampaio Caetano Ramalho Zelinda Margarida Carmo Marouço Oliveira Semedo Partido Social Democrata (PSD): Adão José Fonseca Silva Álvaro dos Santos Amaro Álvaro Roque de Pinho Bissaia Barreto Ana Maria Martins Narciso Ana Maria Sequeira Mendes Pires Manso António da Silva Pinto de Nazaré Pereira António D'Orey Capucho
2	P00001	P00002	Srs. Deputados, este período da ordem de trabalhos é composto por declarações políticas, uma intervenção da Sr.ª Ministra do Planeamento ao abrigo do n.º 2 do artigo 83.º do Regimento e um voto de protesto, apresentado por todos os partidos. O Sr. Secretário vai anunciar os diplomas, os requeri-
3	P00519	P00002	Sr. Presidente e Srs. Deputados, deram entrada na Mesa, e foram admitidas, as seguintes iniciativas legislativas: propostas de lei n.os 89/VIII — Autoriza o Governo a alterar o regime jurídico aplicável ao reconhecimento e protecção das regiões demarcadas vitivinícolas e respectivas entidades certificadoras, bem como a fixar normas processuais relativas a ilícitos de mera ordenação social no âmbito do sector vitivinícola, 90/VIII — Alterações ao Decreto-Lei n.º 329/93, de 25 de Setembro (ALRM), que baixa à 9.ª Comissão, 91/VIII — Altera o regime jurídico dos crimes de tráfico de influência e de corrupção, que baixa à 1.ª Comissão, 92/VIII — Aprova o Código de Processo nos Tribunais Administrativos (revoga o Decreto-Lei n.º 267/85, de 16 de Julho), que baixa à 1.ª Comissão, 93/VIII — Aprova o Estatuto dos Tribunais Administrativos e Fiscais (revoga o Decreto-Lei n.º 129/84, de 27 de Abril), que baixa à 1.ª Comissão, 94/VIII — Estabelece medidas de combate à criminalidade organizada e económico-financeira, que baixa à 1.ª Comissão, e 95/VIII — Lei da responsabilidade civil extracontratual do Estado (revoga o Decreto-Lei n.º 48 051, de 21 de Novembro de 1967), que baixa à 1.ª Comissão; propostas de resolução n.os 64/VIII — Aprova, para ratificação, a Convenção entre a República Portuguesa e a República da Islândia para evitar a dupla tributação e prevenir a evasão fiscal em matéria de impostos sobre o rendimento e o capital, e respectivo Protocolo, assinados em Lisboa, a 2 de Agosto de 1999, que baixa às 2.ª e 5.ª Comissões, 65/VIII — Aprova, para ratificação, o Protocolo estabelecido com base no n.º 1 do artigo 43.º da Convenção que cria um Serviço Europeu de Polícia (Convenção EUROPOL) e que altera o artigo 2.º e o Anexo daquela Convenção, assinado em Bruxelas, a 30 de Novembro de 2000, que baixa às 1.ª e 2.ª Comissões, e 66/VIII — Aprova, para adesão, a Acta de Protocolarização dos Estatutos do Escritório de Educação Ibero-Americano, assinada em Ciudad de Trujillo, República Dominicana, em 31 de Outubro de 1957, os Estatutos da Organização dos Estados Ibero-Americanos para a Educação, a Ciência e a Cultura, assinados na cidade do Panamá, em 2 de Dezembro de 1985, e o respectivo Regulamento Orgânico, assinado na cidade do Panamá, em 3 de Dezembro de 1985, que baixa às 2.ª e 7.ª Comissões; projectos de lei n.os 467/VIII — Elevação da povoação de Silvalde, no concelho de Espinho, à categoria de vila (Deputada do PS Rosa Maria Albernaz), que baixa à 4.ª Comissão, 468/VIII — Assegura a competência plena dos tribunais portugueses face à jurisdição do Tribunal Penal Internacional (Altera o Código Penal português em matéria do crime de genocídio, dos crimes contra a humanidade e dos crimes de guerra) (PSD), que baixa à 1.ª Comissão, 469/VIII — Alteração do Decreto-Lei n.º 394-A/98, de 15 de Dezembro, o qual atribui à Sociedade Metro do Porto, S.A., o serviço público do sistema de metro ligeiro na Área Metropolitana do Porto, em regime de concessão, e aprova as bases que a regulam, assim como atribui à mesma empresa a responsabilidade pelas operações de construção da sua infraestrutura e permite a aprovação do respectivo contrato de adjudicação (PSD), que baixa às 4.ª e 6.ª Comissões, 470/VIII — Alteração dos limites territoriais das duas freguesias no município de Setúbal (PS), que baixa à 4.ª Comissão, 471/VIII — Elevação da vila de Lordelo, no concelho de Paredes, à categoria de cidade e alteração da denominação de «Lordelo» para «São Salvador de Lordelo» (Deputado do PS Artur Penedos), que baixa à 4.ª Comissão, 472/VIII — Elevação da vila de Rebordosa, no concelho de Paredes, à categoria de cidade (Deputado do PS Artur Penedos), que baixa à 4.ª Comissão, 473/VIII — Elevação da vila de Gandra, no concelho de Paredes, à categoria de cidade (PSD), que baixa à 4.ª Comissão, 474/VIII — Elevação da vila de Lordelo, no concelho de Paredes, à categoria de cidade (PSD), que baixa à 4.ª Comissão, 475/VIII — Elevação da vila de Rebordosa, no concelho de Paredes, à categoria de cidade (PSD), que baixa à 4.ª Comissão, 476/VIII — Elevação da povoação de Baltar, no concelho de Paredes, à categoria de vila (PSD), que baixa à 4.ª Comissão, 477/VIII — Elevação da povoação de Cete, no concelho de Paredes, à categoria de vila (PSD), que baixa à 4.ª Comissão, 478/VIII — Elevação da povoação de Recarei, no concelho de Paredes, à categoria de vila (PSD), que baixa à 4.ª Comissão, 479/VIII — Elevação da povoação de Sobreira, no concelho de Paredes, à categoria de vila (PSD), que baixa à 4.ª Comissão, e 480/VIII — Elevação da povoação de Vilela, no concelho de Paredes, à categoria de vila (PSD), que baixa à 4.ª Comissão; e a apreciação parlamentar n.º 49/VIII (PSD) — Do Decreto-Lei n.º 194/2001, de 26 de Junho, que cria e aprova os Estatutos do Instituto de Gestão Financeira da Saúde e do Instituto para as Redes de Informação da Saúde. Srs. Deputados, foram apresentados na Mesa os requerimentos seguintes: Nas reuniões plenárias de 11 e 12 de Junho de 2001: aos Ministérios da Cultura e do Equipamento Social, formulado pelo Sr. Deputado Victor Moura; ao Ministério do Equipamento Social, formulados pelos Srs. Deputados Manuel Moreira, João Amaral e Isabel Tinoco Faria; ao Governo, formulados pelos Srs. Deputados Mota Amaral e Carlos Luís; a diversos Ministérios, formulados pelo Sr. Deputado Vicente Merendas; ao Ministério da Saúde, formulados pelos Srs. Deputados Luís Nobre Guedes e José Alberto Fateixa; ao Ministério do Ambiente e Ordenamento do Território, à Inspecção-Geral do Ambiente e à Comissão Directiva do Parque Natural Sintra-Cascais, formulados pelo Sr. Deputado Nuno Teixeira de Melo; aos Ministérios da Educação e do Trabalho e da Solidariedade, formulados pelo Sr. Deputado Telmo Correia; ao Ministério do Ambiente e Ordenamento do Território, formulado pelo Sr. Deputado Bruno Vitorino; ao Ministério da Juventude e do Desporto, formulado pelo Sr. Deputado Hermínio Loureiro; aos Ministérios dos Negócios Estrangeiros e da Educação, formulados pelo Sr. Deputado José Cesário; a diversos Ministérios, formulados pelo Sr. Deputado Agostinho Lopes; e à Câmara Municipal de Vieira do Minho, formulado pelo Sr. Deputado Eugénio Marinho. Nas reuniões plenárias de 18 e 19 de Junho de 2001: ao Ministério da Saúde, formulados pelos Srs. Deputados Miguel Macedo, Herculano Gonçalves, Lucília Ferra e Heloísa Apolónia; a diversos Ministérios, formulados pela Sr.ª Deputada Margarida Botelho; ao Ministério do Ambiente e Ordenamento do Território e aos Institutos da Con-
4	P00001	P00002	Srs. Deputados, está em apreciação. Pausa. Não havendo pedidos de palavra, vamos votar o parecer. Submetido à votação, foi aprovado por unanimidade. Informo os Srs. Deputados, para que não deixem de exercer o direito de voto, que decorre, junto dos funcionários da Divisão do Apoio ao Plenário, a eleição de dois membros para o Conselho Nacional de Educação. Inscreveram-se, para declarações políticas, os Srs. Deputados Luís Fazenda, Basílio Horta, Fernando Seara, Lino de Carvalho, Isabel Castro e António Braga. Tem a palavra o Sr. Deputado Luís Fazenda.
5	P00264	P00002	Sr. Presidente, Srs. Deputados: Olha-se hoje para a Marinha Grande e quase não se acredita. Há pouco mais de um ano, dizia-se que a restruturação da indústria vidreira era um caso de sucesso, era mesmo um caso de estudo, e cito: «a reestruturação da cristalaria foi um sucesso que deverá ser publicamente divulgado» — referia o representante da Associação da Cristalaria e representante da Confederação da Indústria Portuguesa. Por sua vez, o Director-Geral da Indústria referia o seu empenho em que «os casos de sucesso devem ser divulgados». Também o representante da Direcção-Geral de Contribuições e Impostos manifestava o seu agrado pela proveitosa experiência que para todos, trabalhadores e empresas, adveio da reestruturação. Até a União Geral de Trabalhadores salientou este caso de sucesso.
6	P00001	P00002	Para pedir esclarecimentos, tem a palavra o Sr. Deputado Osvaldo Castro.
7	P00201	P00264	Sr. Presidente, Sr. Deputado Luís Fazenda, ouvi-o com muita atenção e não nego que a situação actual do sector do vidro na Marinha Grande atravessa algumas dificuldades, mas também é bom que o Sr. Deputado tenha em conta — como, aliás, fez enquanto lia a intervenção, porque só depois é que deixou de o fazer — que há uma responsabilidade directa dos empresários que foram apoiados e que não estão a cumprir! Ninguém tenha dúvidas disto! No entanto, como o Sr. Deputado disse, o que se passa na Marinha Grande em meados de 2001 nada tem a ver com o que se passou na Marinha Grande nos primeiros anos da década de 90, na fase do cavaquismo, porque, isso, os governos do PS conseguiram alterar. Aliás, Sr. Deputado, gostaria de dizer-lhe que, lamen-
8	P00001	P00002	Para responder, tem a palavra o Sr. Deputado Luís Fazenda.
9	P00264	P00201	Sr. Presidente, Sr. Deputado Osvaldo Castro, em primeiro lugar, devo concluir que reconhece, tal como nós, que a situação social é grave. Em segundo lugar, compreendo que tenha alguma dificuldade, move-me até uma certa compreensão pela atitude do Sr. Deputado, porque desfila na rua ao lado dos trabalhadores e, sendo apoiante do Governo, não consegue que o mesmo faça mais do que ter atenção.
10	P00201	P00264	Não é verdade!
