utterance_id	speaker_id	target_id	reply_to_id	utterance
1	P00001	P00002		Srs. Deputados, Srs. Jornalistas, está aberta a sessão. Eram 15 horas e 8 minutos. Srs. Agentes de autoridade, podem abrir as galerias. Antes de iniciarmos as declarações políticas, que são o primeiro ponto da nossa ordem do dia, vou dar a palavra ao Sr. Secretário, Deputado Duarte Pacheco, para fazer o favor de ler o expediente.
2	P00231	P00002		Sr.ª Presidente, Sr.as e Srs. Deputados, deram entrada na Mesa, e foram admitidas pela Sr.ª Presidente, as seguintes iniciativas legislativas: proposta de lei n.º 278/XII (4.ª) — Procede à segunda alteração ao regime que cria a contribuição extraordinária sobre o setor energético, aprovado pelo artigo 228.º da Lei n.º 83-C/2013, de 31 de dezembro, que baixa à 5.ª Comissão; projetos de lei n.os 763/XII (4.ª) — Reorganização funcional da rede de serviços de urgência (BE), que baixa à 9.ª Comissão, e 764/XII (4.ª) — Aprova o regime de correção salarial dos trabalhadores da Administração Pública que exercem funções no estrangeiro (PCP), que baixa à 5.ª Comissão. Deram também entrada na Mesa os projetos de resolução n.os 1233/XII (4.ª) — Aplicação das recomendações do Conselho Nacional de Educação relativamente ao enquadramento legal da educação especial (BE), 1234/XII (4.ª) — Municipalização escolar imposta à custa da autonomia das escolas (BE), que baixa à 8.ª Comissão, 1235/XII (4.ª) — Em defesa da escola pública inclusiva para todos (PCP), 1236/XII (4.ª) — Plano Imediato de Intervenção Económica e Social para o Alentejo (PCP), que baixa à 6.ª Comissão, 1237/XII (4.ª) — Recomenda ao Governo a revisão da Portaria n.º 275-A/2012, de 11 de setembro, garantindo a continuidade do percurso escolar no ensino secundário dos alunos com necessidades educativas especiais (PSD e CDS-PP), 1238/XII (4.ª) — Recomenda ao Governo a avaliação da Portaria n.º 275-A/2012, de 11 de setembro, nomeadamente no que respeita à composição das turmas, à distribuição da carga horária entre escola e instituição e ao impacto das suas premissas na efetiva integração do aluno na vida pós-escolar (PS), 1239/XII (4.ª) — Propõe a reversão da alienação do Grupo Espírito Santo Saúde, a sua transferência para a esfera pública e a valorização dos seus ativos num quadro de controlo ou propriedade de natureza pública (PCP), que baixa à 5.ª Comissão, 1240/XII (4.ª) — Recomenda o apoio à candidatura das levadas da Madeira a património da humanidade (Os Verdes), 1241/XII (4.ª) — Recomenda ao Governo o reforço dos cuidados de saúde primários (Os Verdes), 1242/XII (4.ª) — Recomenda ao Governo o desenvolvimento da rede de cuidados primários e a contratação dos profissionais necessários para o normal funcionamento do Serviço Nacional de Saúde (BE), 1243/XII (4.ª) — Estabilidade e financiamento da rede de ensino artístico especializado (BE), que baixa à 8.ª Comissão, 1244/XII (4.ª) — Reforço do Serviço Nacional de Saúde (PS), 1245/XII (4.ª) — Recomenda ao Governo que reveja a potência máxima permitida nos motores das embarcações de pesca local, bem como o reforço da fiscalização aos mesmos (CDS-PP), que baixa à 7.ª Comissão. É tudo, Sr.ª Presidente.
3	P00001	P00002		Vamos, então, entrar na ordem do dia, cujo primeiro ponto, como sabemos, consiste em declarações políticas, com a seguinte ordem: Bloco de Esquerda, PSD, PS, CDS-PP e PCP. Pelo Bloco de Esquerda, para fazer a primeira declaração política, tem a palavra o Sr. Deputado Luís Fazenda.
4	P00264	P00002		Sr.ª Presidente, Sr.as Deputadas, Srs. Deputados: Tem o Sr. Primeiro-Ministro, Pedro Passos Coelho, usado e abusado de algumas afirmações que não devem passar em claro na Câmara dos Deputados. Em primeiro lugar, em relação à área da saúde fez afirmações no sentido de dizer que o seu Governo foi aquele que mais contribuiu para o Serviço Nacional de Saúde. Tudo isto é discrepante e contrasta vivamente com a realidade, não só em relação ao que tem sido o caos das urgências — havendo necessidade de reciclar a capacidade de atendimento imediato por parte dos cidadãos, com pico de gripe ou sem pico de gripe — , mas também quanto a muitas outras faltas relativas à organização da rede hospitalar, com as dificuldades da suborçamentação e, muito mais do que isso, com a dificuldade que tem havido em dispensar medicamentos
5	P00338	P00264	4	Já desistiram!
6	P00264	P00002		Não vamos falar do «conto de crianças» e de outras formas de apoucamento e de aviltamento das posições que têm vindo a ser tomadas por parte do Governo português, do PrimeiroMinistro e dos principais responsáveis. Devo dizer que as afirmações do Primeiro-Ministro português, a par da atitude do Presidente do Conselho do Estado espanhol, são muito negativas. Trata-se de países que tiveram modalidades diferentes de resgate, que estão sujeitos à troica, essa instituição que é uma espécie de instituição bastarda da União Europeia, que tem vindo a ser rejeitada nos diálogos — que são necessários — intraeuropeus. O que os principais responsáveis têm feito e dito é que não estão de acordo com qualquer debate/discussão acerca da reestruturação da dívida, não estão de acordo com uma conferência europeia sobre a reestruturação das dívidas, não estão de acordo com qualquer mecanismo que tenha a ver com o voltar ao passado, conseguir tirar uma autópsia dos planos de resgate da troica, encontrar um caminho de crescimento e de defesa dos direitos sociais e, já agora, dos regimes constitucionais dos Estados-membros na União Europeia. Ou seja, a Sr.ª Merkel, por interpostas pessoas e por interpostos Estados — Portugal e Espanha — , está a encontrar um escudo humano para as negociações na União Europeia. E é terrível, é lamentável e é de uma infelicidade
7	P00001	P00002		A Mesa regista três inscrições, para pedir esclarecimentos, dos Srs. Deputados Mónica Ferro, do PSD, Nuno Magalhães, do CDS-PP, e Jorge Machado, do PCP. O Sr. Deputado Luís Fazenda informa que pretende responder um a um, pelo que tem a palavra a Sr.ª Deputada Mónica Ferro.
8	P00578	P00264	6	Sr.ª Presidente, Sr.as Deputadas, Srs. Deputados, acabamos de assistir, mais uma vez, a um exercício em que o Bloco de Esquerda tenta demonstrar aos portugueses e às portuguesas que tem o monopólio dos bons sentimentos. Ouvimos uma lista extensiva de preocupações, mas, Sr. Deputado, não ouvimos uma única proposta de resolução.
9	P00327	P00578	8	Zero!
10	P00578	P00264	6	Ouvimos uma série de críticas, mas o PSD nunca negou que a crise era dura. O PSD nunca negou que a crise tinha consequências sobre os portugueses, mas também nunca enjeitámos a responsabilidade que tínhamos em lhes dar resposta.
11	P00327	P00578	10	Muito bem!
12	P00578	P00264	6	Uma confiança que os Srs. Deputados não sabem o que é porque os portugueses nunca vos deram, através do voto, essa confiança de governar Portugal.
13	P00327	P00578	12	Bem pelo contrário!
14	P00578	P00264	6	Os portugueses sabem onde é que estão as respostas da manutenção do Estado social. Os portugueses sabem com quem podem contar e sabem que é nesta bancada que estão essas respostas.
15	P00327	P00578	14	Muito bem
16	P00578	P00264	6	O Sr. Deputado citou a pobreza. A pobreza preocupa-nos, aliás, não podia deixar de nos preocupar. É um desígnio social-democrata garantir a todos o nível mínimo de dignidade, até o nível máximo de dignidade, que é isso que nos distingue de uma certa esquerda.
17	P00327	P00578	16	Não interessa!
18	P00578	P00264	6	Para além disso, o relatório também nos diz que, em 2013, as transferências sociais relacionadas com a doença, com a incapacidade, com a família, com o desemprego e com a inclusão social para a redução do risco de pobreza aumentaram 0,5%.
19	P00327	P00578	18	Não interessa!
20	P00578	P00264	6	Srs. Deputados, criámos o Plano de Emergência Social — os nossos quatro Orçamentos inscreveram 938 milhões de euros para esta área; majorámos em 10% o subsídio de desemprego de casais que tenham filhos a cargo e em que ambos tenham perdido os seus postos de trabalho; criámos o Programa de Emergência Alimentar; criámos as tarifas sociais de eletricidade; reduzimos o preço dos medicamentos; isentámos de taxas moderadoras 5,5 milhões de pessoas; aumentámos a isenção em sede de IRS. Sr. Deputado, tenho uma lista imensa de medidas que lhe posso oferecer para que veja o esforço consolidado que este Governo tem levado a cabo.
21	P00327	P00578	20	É preciso conhecer essas medidas!
22	P00578	P00264	6	É preciso conhecê-las, porque, de facto, não ouvimos respostas da sua parte.
23	P00001	P00578	22	Queira concluir, Sr.ª Deputada.
24	P00578	P00264	6	Estou a terminar, Sr.ª Presidente. Ouvimos várias referências ao Syriza e ao que essa vitória grega significaria para toda a Europa. Pois só me ocorre perguntar de que Syriza é que estamos a falar, do Syriza de antes das eleições ou do Syriza de depois das eleições. É que Portugal não está na mesma situação da Grécia, Srs. Deputados. Enquanto os gregos não sabem como vai ser o amanhã, os portugueses estão a ver os seus salários repostos, estão a ver as suas pensões repostas, estão a ver o número de empregos a crescer, estão a ver o número de falências a diminuir.
25	P00001	P00578	24	Sr.ª Deputada, queira concluir.
26	P00578	P00264	6	O que gostava de ouvir da bancada do Bloco de Esquerda era a resposta a estas perguntas que coloquei, para que eu, os portugueses e as portuguesas que nos estão a ver em casa pudéssemos acreditar que há outra visão de governação.
27	P00001	P00578	26	Peço desculpa por insistir muito com a Sr.ª Deputada Mónica Ferro para terminar, mas, como é a primeira pergunta da tarde, é para criarmos uma bitola para o resto da sessão.
28	P00264	P00578	26	Sr.ª Presidente, ainda por cima, vou responder. Sr.ª Deputada Mónica Ferro, que se saiba, a taxa de desemprego até no último trimestre do ano passado aumentou. Não tem havido nenhum ciclo linear de aumento da taxa de emprego em Portugal. Por isso, o que a Sr.ª Deputada disse é absolutamente desmentido pelos números.
29	P00327	P00264	28	Não é verdade o que está a dizer!
30	P00264	P00578	26	Os Srs. Deputados estão desatualizados acerca dos números, por isso façam favor de se atualizarem. Em relação aos indicadores de pobreza, e tendo em conta os que são relativos a 2014 — e nós podemos calculá-los — , vão aumentar. Porquê? Porque diminuiu-se as prestações sociais, desvalorizou-se ainda mais o fator trabalho e, como tal, não vamos ter melhorias. Além de mais, o limiar de pobreza a partir do qual é calculado o índice da pobreza pelo INE baixou. Sr.ª Deputada, não poderia ter acontecido outra coisa, uma vez que o Primeiro-Ministro adotou fielmente o programa da troica como o seu próprio programa, dizendo que Portugal precisava de empobrecer.
31	P00327	P00264	30	O Primeiro-Ministro salvou o País!
32	P00264	P00578	26	Não sei qual é a novidade, não sei por que é que o PSD fica tão nervoso, tão intranquilo quando estes factos são nomeados. É que, na verdade, o Sr. Primeiro-Ministro não disse só «que se lixem as eleições», também disse que era preciso empobrecermos. Têm os resultados, está à vista a aplicação do vosso programa. Portanto, há uma crise social maior, há um maior desnivelamento do ponto de vista económico, aumentaram as desigualdades no País. Estes são factos absolutamente incontroversos. Perguntou-me a Sr.ª Deputada pelas nossas alternativas. Bem, nós temos defendido a reestruturação da dívida, o aumento da procura interna, o aumento do investimento público, a capacidade de crescimento económico»
33	P00327	P00264	32	Até o Syriza já abandonou essas medidas!
34	P00264	P00327	33	Enfim, temos proposto um conjunto de medidas. Ouviu falar deste tipo de medidas? Ouviu! Eu não falei do Syriza, falei do Governo grego, mas o Syriza, de facto, propôs esse tipo de medidas, que nós já defendemos há anos.
35	P00327	P00264	34	O Syriza já não propõe essas medidas!
36	P00264	P00578	26	Não sei se é a Sr.ª Deputada Mónica Ferro que está a ouvir a minha resposta ou se é o Sr. Deputado Hugo Soares, mas, de qualquer forma, distribuo-a democraticamente por toda a bancada do PSD. O que está em curso, independentemente do seu desfecho final, é um processo de renegociação da dívida grega. O que me importa, para além do povo grego, que muito estimo, como qualquer outro povo da União Europeia, é o que vai resultar do ponto de vista do quadro europeu, das condições do euro, da desigualdade que o euro tem vindo a promover e como é que nessas circunstâncias as dívidas de outros Estados-membros
37	P00001	P00264	36	Queira concluir, Sr. Deputado.
38	P00264	P00578	26	Nessa circunstância — e concluo, ainda por cima, Sr.ª Presidente — , é preciso saber qual é a atitude do Governo português. A atitude do Governo português — e em relação a isso a Sr.ª Deputada Mónica Ferro nem questionou — é a de bloquear este processo europeu. Isso é absolutamente inaceitável, isso é faltar aos portugueses.
39	P00001	P00002		A próxima pergunta é do CDS-PP. Tem a palavra, Sr. Deputado Nuno Magalhães.
